inchikey,smiles,pchembl,chembl_id,selfies
BDIVBXPMMCJMJP-LBNVMWSVSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Cc2ccc(O)c(O)c2)cc1,9.27,CHEMBL5401237,[C][O][C][=C][C][=C][Branch2][Branch1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Branch1]
BDJBBXZWMRYFHJ-CRMZVPMSSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](OC(=O)CCC(=O)NCCC(=O)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1N=[N+]=[N-])C(=O)N1CSC(C)(C)[C@H]1C(=O)NC(C)(C)C,,CHEMBL20512,[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][O][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch2][Ring2][S][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][O][C][C][O][C][Branch1][S][N][C][=C][Branch1][C][C][C][=Branch1][C][=O][NH1][C][Ring1][Branch2][=O][C][C][Ring1][=C][N][=N+1][=N-1][C][=Branch1][C][=O][N][C][S][C][Branch1][C][C][Branch1][C][C][C@H1][Ring1][#Branch1][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C]
BDLDXCRHGULGGX-DOWCNQDSSA-N,CCC(C)[C@@H](NC(=O)C(CCC(C)C)NC(=O)CCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,3.2992962828549803,CHEMBL364088,[C][C][C][Branch1][C][C][C@@H1][Branch2][=Branch1][Branch2][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][Branch2][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][N][=O]
BDLUEJUQSRGZLT-WDKGQIBQSA-N,O=C1N(Cc2cccc(CO)c2)[C@H](CCc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(CO)c1,9.85,CHEMBL277389,[O][=C][N][Branch1][=C][C][C][=C][C][=C][C][Branch1][Ring1][C][O][=C][Ring1][Branch2][C@H1][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][P][C][C][=C][C][=C][C][Branch1][Ring1][C][O][=C][Ring1][Branch2]
BDMKLAHPPRBFPL-ZHYHHJINSA-N,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1OC,-1.0999999999999428,CHEMBL344764,[C][O][C][=C][C][=C][Branch2][#Branch1][Ring2][C][N][C@@H1][Branch2][Ring2][C][C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][C][Branch1][C][C][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][C][=C][Ring2][Branch1][=Branch2][O][C]
BDPJBXBDASBMKE-SGJYFDFBSA-N,COc1ccc(S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)/C=C/c2cc(OC)c(O)c(OC)c2)C(C)C)cc1,6.28,CHEMBL4859328,[C][O][C][=C][C][=C][Branch2][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][N][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][/C][=C][/C][=C][C][Branch1][Ring1][O][C][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][O][C][Branch1][C][C][C][C][=C][Ring2][Ring2][Branch2]
BDPMIPABWSHJJW-UEOMBKFZSA-N,Cc1ccc(C[C@H](NC(=O)c2c(C)ccc(O)c2C)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)cc1,8.44,CHEMBL325199,[C][C][=C][C][=C][Branch2][Branch1][=Branch2][C][C@H1][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][Branch1][C][C][C][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][C@H1][Branch1][C][O][C][=Branch1][C][=O][N][C][C@@H1][Branch1][C][Cl][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring2][Ring2][Branch1]
BDSBISXLFOILEE-ACUYYCNJSA-N,O=C1N(Cc2ccc3ccccc3c2)[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1,7.64,CHEMBL289715,[O][=C][N][Branch1][S][C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C@H1][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][P][C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2]
BEAHKSVMGOSPPN-UHFFFAOYSA-N,CNC(=O)c1[nH]c2ccc(Cl)cc2c1Sc1ccccc1,7.66,CHEMBL23456,[C][N][C][=Branch1][C][=O][C][NH1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=Ring1][#Branch2][S][C][=C][C][=C][C][=C][Ring1][=Branch1]
BEBJRSRHZINEQA-OSUVAXNQSA-N,CC[C@H](C)[C@@H](NC(=O)[C@@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(N)=O)[C@H](C)O)C(=O)N[C@@H](Cc1ccc(F)c(F)c1)C(N)=O,3.0594835150674324,CHEMBL1791321,[C][C][C@H1][Branch1][C][C][C@@H1][Branch2][=Branch1][#Branch1][N][C][=Branch1][C][=O][C@@H1][Branch2][Branch1][=Branch2][N][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][Branch2][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][N][=O][C@H1][Branch1][C][C][O][C][=Branch1][C][=O][N][C@@H1][Branch1][S][C][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][C][Branch1][C][N][=O]
BEDQPXJLXGZDFG-PYNWJHIZSA-N,CCC[C@@H](C(=O)NCC(=O)OC)N1C(=O)CC1C(=O)N[C@@H](Cc1ccccc1)C(=O)OC,,CHEMBL2371869,[C][C][C][C@@H1][Branch1][=N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O][C][N][C][=Branch1][C][=O][C][C][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C]
BELIREYRIBKICY-BHETYADTSA-N,CCC(Cc1ccccc1)c1cc(O)c(C(c2cccc(N[C@@H](C)C(=O)OC(C)(C)C)c2)C2CC2)c(=O)o1,7.82,CHEMBL5266669,[C][C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][O][=C][Branch2][Ring2][#Branch1][C][Branch2][Ring1][=C][C][=C][C][=C][C][Branch2][Ring1][Ring1][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][=C][Ring1][S][C][C][C][Ring1][Ring1][C][=Branch1][C][=O][O][Ring2][Ring1][N]
BELREXFXQRQIOE-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1NS(=O)(=O)c1cccnc1,8.59,CHEMBL354867,[C][C][=C][C][Branch2][Ring2][Branch1][S][C][=C][Branch1][C][O][O][C][Branch1][=C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][Branch1][=Branch1][C][Branch1][C][C][C][C][C][Ring2][Ring1][Ring1][=O][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring2][Ring1][#C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1]
BELVCNIPCAQSDE-SANMLTNESA-N,CC(C)CN([C@H](CO)CCCCNC(=O)N(Cc1ccccc1)Cc1cccs1)S(=O)(=O)c1ccc(N)cc1,7.96,CHEMBL360336,[C][C][Branch1][C][C][C][N][Branch2][Ring2][Ring1][C@H1][Branch1][Ring1][C][O][C][C][C][C][N][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][S][Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1]
BEMFUNNTWMGFEM-SFGGGBLOSA-N,Cc1cncc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)c1,,CHEMBL157086,[C][C][=C][N][=C][C][Branch2][=Branch1][Branch1][C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch2][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Branch1][C][C][C][=C][Ring2][Ring2][P]
BEOATIXNXFYMJU-UHFFFAOYSA-N,CCCCNC(=O)C(Cc1ccccc1)N1C(=O)CC1c1ccccc1,,CHEMBL372176,[C][C][C][C][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
BEOBTSDHZXSZDU-BVEPWEIPSA-N,O=C1N(Cc2cccc(O)c2)[C@H]([C@@H](F)Cc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1,7.92,CHEMBL37313,[O][=C][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C@H1][Branch1][=C][C@@H1][Branch1][C][F][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][#C][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1]
BEPIELKYWZFGIL-HZFUHODCSA-N,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSc1ccc(F)cc1)NS(C)(=O)=O,8.36,CHEMBL11426,[C][C][Branch1][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][=C][C][S][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][S][Branch1][C][C][=Branch1][C][=O][=O]
BEQYWAKTXSGQJH-CCARFGRDSA-N,CC(=O)O[C@H](c1ccc2c(c1)OCO2)[C@H]1COC(=O)[C@@H]1[C@H](O)c1ccc2c(c1)OCO2,,CHEMBL4757867,[C][C][=Branch1][C][=O][O][C@H1][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C@H1][C][O][C][=Branch1][C][=O][C@@H1][Ring1][=Branch1][C@H1][Branch1][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1]
BEWMLKAHXSTRMV-UHFFFAOYSA-N,CCC(C1=C(O)OC(CC)(c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)CC1=O)c1cccc(NS(=O)(=O)c2ccc(C#N)cn2)c1,10.0,CHEMBL22121,[C][C][C][Branch2][Branch1][Branch1][C][=C][Branch1][C][O][O][C][Branch1][Ring1][C][C][Branch2][Ring1][P][C][=C][C][=C][C][Branch2][Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][=C][Ring2][Ring1][C][C][C][Ring2][Ring1][O][=O][C][=C][C][=C][C][Branch2][Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][=C][Ring2][Ring1][C]
BEYIKFKXDNCIOO-YVHASNINSA-N,CC(C)[C@@H]1NC(=O)[C@@H]([C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)NCc2cccc(c2)OCCOCCNC1=O,7.16,CHEMBL322597,[C][C][Branch1][C][C][C@@H1][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][#C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][N][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][O][C][C][N][C][Ring2][Ring2][#Branch1][=O]
BFCBBDDJOYSCOW-JEGXQRANSA-N,O=S1(=O)N(Cc2cccc(-c3cccs3)c2)[C@@H](COc2ccccc2)[C@@H](O)[C@H](O)[C@H](COc2ccccc2)N1Cc1cccc(-c2cccs2)c1,5.66,CHEMBL3350108,[O][=S][=Branch1][C][=O][N][Branch2][Ring1][Ring1][C][C][=C][C][=C][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=C][Ring1][O][C@@H1][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring2][=Branch1][C][C][=C][C][=C][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=C][Ring1][O]
BFFIPVLTEGEZDJ-HTCODBRUSA-N,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCCO)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCCO)SC1(C)C,7.4,CHEMBL326679,[C][C][Branch1][C][C][S][C@H1][Branch2][Ring1][#Branch2][C@H1][Branch1][#C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][O][N][C@H1][Ring2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][C@@H1][N][C@@H1][Branch2][Ring1][#Branch2][C@H1][Branch1][#C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][O][S][C][Ring2][Ring1][=Branch1][Branch1][C][C][C]
BFKBFXHIZWPEIZ-CKKQHLIESA-N,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ncc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,9.85,CHEMBL3706616,[O][=C][Branch1][P][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C@H1][Ring1][#Branch2][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C][N][C][C][N][Branch2][Ring1][Ring1][C][C][=N][C][=C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][O][Ring1][O][C][C@H1][Ring2][Ring1][C][C][=Branch1][C][=O][N][C][C][Branch1][C][F][Branch1][C][F][F]
BFKMYBHUMHOWJH-YVHASNINSA-N,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2nnn(C)n2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,9.1,CHEMBL115673,[C][O][C][=Branch1][C][=O][N][C@H1][Branch2][=Branch1][#Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C][N][Branch2][Ring1][=Branch1][C][C][=C][C][=C][Branch1][O][C][N][=N][N][Branch1][C][C][N][=Ring1][=Branch1][C][=C][Ring1][N][N][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]
BFOOFWVAELCGMN-AKUVXLQWSA-N,CC(C)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(C)C,7.42,CHEMBL325731,[C][C][Branch1][C][C][C@H1][Branch2][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch2][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C]
BFOOFWVAELCGMN-JIBQIMBESA-N,CC(C)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(C)C,6.62,CHEMBL320243,[C][C][Branch1][C][C][C@H1][Branch2][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch2][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C]
BFOOFWVAELCGMN-MGTGDHFRSA-N,CC(C)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(C)C,7.15,CHEMBL326053,[C][C][Branch1][C][C][C@H1][Branch2][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch2][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C]
BFUBIKTUZNMXLM-PMERELPUSA-N,CC(C)CCN([C@H](CO)CCCC/N=C(\S)N(Cc1ccc(F)cc1)Cc1ccc2c(c1)OCCO2)S(=O)(=O)c1ccc(N)cc1,8.0,CHEMBL181920,[C][C][Branch1][C][C][C][C][N][Branch2][Ring2][#C][C@H1][Branch1][Ring1][C][O][C][C][C][C][/N][=C][Branch1][C][\S][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1]
BFWDTFXPCUQCAN-UHFFFAOYSA-N,O=c1cc(C(CC2CC2)CC2CC2)oc(O)c1C(c1cccc(CS(=O)(=O)c2ccc(F)cc2)c1)C1CC1,7.72,CHEMBL131821,[O][=C][C][=C][Branch1][S][C][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][C][C][C][Ring1][Ring1][O][C][Branch1][C][O][=C][Ring1][S][C][Branch2][Ring1][#C][C][=C][C][=C][C][Branch2][Ring1][Ring2][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=C][Ring1][P][C][C][C][Ring1][Ring1]
BFXPFMUSELULAM-UHFFFAOYSA-N,CCCC1(CCc2ccccc2)OC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)=C(O)O1,8.52,CHEMBL315121,[C][C][C][C][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][Branch2][Ring2][=Branch1][C][Branch1][Ring1][C][C][C][=C][C][=C][C][Branch2][Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][=C][Ring2][Ring1][C][=C][Branch1][C][O][O][Ring2][Ring2][Branch1]
BGDNDPKTTTWGLX-BWGGSIGWSA-N,CC(C)C(NC(=O)OCc1csc(N2CCOCC2)n1)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1,,CHEMBL155795,[C][C][Branch1][C][C][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][O][C][C][=C][S][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=N][Ring1][O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][=C][N][=C][S][Ring1][Branch1]
BGGGBIPPLBDPHT-ZFILCQGISA-N,CC[C@@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](O)C(C)C)S(=O)(=O)c1ccc(OC)cc1,9.21,CHEMBL477001,[C][C][C@@H1][Branch1][C][C][C][N][Branch2][Ring1][S][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][C][O][C][Branch1][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2]
BGHYHFHFLYFAEU-XGXWMDOZSA-N,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1cccnc1)OCc1cccnc1,9.59,CHEMBL315500,[O][=C][Branch2][=Branch1][Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1]
BGQDLALVCNTMCA-SISCPNMGSA-N,CCC(C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)c1ccccc1OCCOCCOC)C(=O)NCc1nc2ccccc2[nH]1,8.3,CHEMBL428804,[C][C][C][Branch1][C][C][C@H1][Branch2][Branch1][#Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][C][C][C][C][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][O][C][C][O][C][C][=Branch1][C][=O][N][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]
BGTODZAMNVMTGT-JNNWWUKYSA-N,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(=O)N[C@H](Cc1ccccc1)[C@@H](O)CC(=O)Nc1nc2ccccc2[nH]1,5.42021640338319,CHEMBL324230,[C][C][Branch1][C][C][S][C@H1][Branch2][Ring1][S][C@H1][Branch1][#C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C@H1][Ring2][Ring1][O][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]
