inchikey,smiles,pchembl,chembl_id,selfies
ABFIJBVNJFZWBJ-VSQJRRPMSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)CSCC1CCN2CCC(CO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)N=C2N1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC)[C@@H](C)OCc1ccccc1,5.3,CHEMBL2068515,[C][C][C@H1][Branch1][C][C][C@H1][Branch2][=Branch1][Ring2][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C][S][C][C][C][C][N][C][C][C][Branch2][Ring1][S][C][O][Si][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][N][=C][Ring2][Ring1][=Branch2][N][Ring2][Ring1][=N][C][=Branch1][C][=O][N][C@H1][Branch2][Ring2][O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
ABFMQEXOLPYCOH-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,8.35,CHEMBL168839,[C][C][=C][C][Branch2][Ring2][Branch1][S][C][=C][Branch1][C][O][O][C][Branch1][=C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][Branch1][=Branch1][C][Branch1][C][C][C][C][C][Ring2][Ring1][Ring1][=O][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring2][Ring1][#C][O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2]
ABIINSUCXHLJLC-TWTDXSNUSA-N,CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,8.94,CHEMBL311979,[C][C][Branch1][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C@@H1][C][N][Branch1][S][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][N][Ring1][#C][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O]
ABWJLPUEOQEFRZ-DIKLSXIISA-N,COC(=O)N[C@H](C(=O)NN(Cc1ccc(C#Cc2ccccn2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,8.05,CHEMBL436952,[C][O][C][=Branch1][C][=O][N][C@H1][Branch2][=Branch1][C][C][=Branch1][C][=O][N][N][Branch2][Ring1][=Branch1][C][C][=C][C][=C][Branch1][O][C][#C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring1][=C][C][C@@][Branch1][C][O][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][C][Branch1][C][C][Branch1][C][C][C]
ABXIIBYAOXNHGF-UKANDLAXSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCCCCCCCC(=O)N[C@H](CO)C(=O)N[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)[C@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)O,4.89,CHEMBL1790831,[C][C][C@H1][Branch1][C][C][C@H1][Branch2][=Branch2][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C@@H1][Branch2][Branch1][Ring1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C@H1][Branch1][C][C][O][C][=Branch1][C][=O][N][C@H1][Branch2][Ring2][#Branch2][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][O]
ABXKNNGMEKVIBB-UHFFFAOYSA-N,Cc1ccc(C(C)(C)C)c(SC2=C(O)OC(CCc3ccccc3)(C(C)C)CC2=O)c1,8.96,CHEMBL372040,[C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][Branch2][Ring2][C][S][C][=C][Branch1][C][O][O][C][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch1][C][Branch1][C][C][C][C][C][Ring2][Ring1][C][=O][=C][Ring2][Ring1][=C]
ABYNAPWQSHRICU-UHFFFAOYSA-N,CC(C)(C)NC(=O)c1ccccc1SCC(O)Cc1ccccc1C(=O)N(CCO)C(C)(C)C,4.47,CHEMBL94473,[C][C][Branch1][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][C][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][O][C][Branch1][C][C][Branch1][C][C][C]
ACBDUOJWJJGQFI-HZFUHODCSA-N,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)OCc1ccccc1)NC(N)=O,7.29,CHEMBL268605,[C][C][Branch1][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][S][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][C][N][=O]
ACDGIJFDLYOONA-IVIIFCHOSA-N,Cc1ccccc1C[C@H](NC(=O)c1ccc(C)c(O)c1C)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C,7.3,CHEMBL324285,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][Branch1][C][O][=C][Ring1][Branch2][C][C@H1][Branch1][C][O][C][=Branch1][C][=O][N][C][C@@H1][Branch1][C][Cl][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C]
ACDSTTDXRYHRGH-IROHOENBSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(CCCO)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.0,CHEMBL44489,[C][C][Branch1][C][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C][C@@H1][Branch1][S][C][C][=C][C][=C][Branch1][Branch1][C][C][C][O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O]
