inchikey,smiles,pchembl,chembl_id
DYFCEKWVTCPDCS-MCGMGUOFSA-N,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2ccccc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,7.7,CHEMBL202963
DYJSVMWNEYFCMD-OQOOGSQVSA-N,CC(C)(C)NC(=O)[C@@H]1CN(S(=O)(=O)c2cccc3cccnc23)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.52,CHEMBL96352
DYKNOWOXJACNMI-KRXYOAFOSA-N,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3cccc(F)c3)c2)C[C@H]1C(=O)NCC(F)(F)F,10.3,CHEMBL340729
DYNLMGDLTIKXHD-UHFFFAOYSA-N,C=CCCCCC(NC(=O)c1cccc(O)c1OCC=C)C(O)CN(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,7.92,CHEMBL194770
DYRQCFKJNPXYSL-QXWHLYFESA-N,CC(C)[C@H]1[C@@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2C[C@H]3CCCC[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,8.09,CHEMBL261340
DYRQCFKJNPXYSL-XHTFZTLQSA-N,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2C[C@H]3CCCC[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,8.52,CHEMBL18067
DYSBKEOCHROEGX-HNNXBMFYSA-N,CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)O,7.0,CHEMBL181392
DYTGENHMRAAUFU-UHFFFAOYSA-N,Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)CCN)O2)c(=O)[nH]c1=O,,CHEMBL416734
DYWBWSJBISEHHW-NOWVBTSSSA-N,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)O,4.92,CHEMBL3350198
DYYJWDSYFDXNOW-FLOLVYIHSA-N,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,10.3,CHEMBL3706620
DZOVQKLLHGLION-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3cc[nH]n3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,9.55,CHEMBL305814
DZQAXVFDRQIWNO-XPVSOCOISA-N,CC[C@H](C)[C@@H](NC(=O)[C@H]([C@H](C)O)N(C)C(=O)CCCCCCCCCCCCCCC(=O)N[C@H](Cc1ccc(C#N)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)NC(CO)C(N)=O,6.85,CHEMBL1791328
DZSRMEJOWXVYNO-WZJLIZBTSA-N,N#Cc1ccc(CN2C(=O)N(Cc3ccc(C#N)cc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cc1,7.28,CHEMBL35980
DZTSJPNBPICINL-XWHIBYANSA-N,O=C1N(Cc2ccccc2)[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1,7.82,CHEMBL39749
DZUIVLUOOCSDIW-ZRTHHSRSSA-N,O=C1N(Cc2ccc(Cl)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(Cl)cc1,8.28,CHEMBL87991
DZYBUBMYCKMAMW-RGGZHTDJSA-N,CC(CCC=C(c1cc(Cl)c(O)c(C(=O)O)c1)c1cc(Cl)c(O)c(C(=O)O)c1)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(F)(F)CC[C@]4(C)[C@H]3CC[C@]12C,6.41,CHEMBL3138268
DZYXNMHXSMLOQR-UHFFFAOYSA-N,CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,8.64,CHEMBL71472
DZZREZWCXMMECK-RFVKPUNGSA-N,COc1cc(Oc2ccccc2)ccc1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,7.35,CHEMBL292161
FACAUYLYCYUNSS-NNQWSVJYSA-N,CC(C)CC(NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(N)=O,7.92,CHEMBL423106
FACAUYLYCYUNSS-RSYZFUPGSA-N,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(N)=O,8.0,CHEMBL99412
FACAUYLYCYUNSS-ZJSPYRCASA-N,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(N)=O,5.51,CHEMBL97544
FACQQHVGJSQKBL-ABVVNCBOSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCC1=O,,CHEMBL316163
FACWTLYMDWLMTA-UCGXPXSYSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@H]1CCCNC1)S(=O)(=O)c1ccc(N)cc1,9.0,CHEMBL4868304
FACWTLYMDWLMTA-ZSQFBXSQSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCCNC1)S(=O)(=O)c1ccc(N)cc1,9.55,CHEMBL4866330
FADBDGCGGLEUOC-ZRTHHSRSSA-N,O=C1N(CC2CCCCC2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CCCCC1,7.43,CHEMBL32828
FADMLSCNOCHAFZ-KOKNCFAUSA-N,NC(=O)C[C@H]1CC(C2=C(O)[C@](Cc3ccccc3)(C[C@H](O)[C@H](Cc3ccccc3)NC(=O)O[C@H]3CCOC3)N=C2)c2ccccc21,8.62,CHEMBL383732
FAEDRMSLDDNVCR-CHLMOITFSA-N,Cc1cc(O)c(C)c(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)c1,8.89,CHEMBL113665
FAFWJMDLRZFXKD-UHFFFAOYSA-N,O=c1c2c(oc(O)c1C(c1cccc(NS(=O)(=O)c3ccc(OC(F)(F)F)cc3)c1)C1CC1)CCCCCC2,8.4,CHEMBL16039
FAIIVIDGNVSFLA-HPPJSWTHSA-N,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CCc2ccc(O)cc2)C(C)(C)C)cc1,7.89,CHEMBL104326
FAJDYRCRPWTHCR-MHIUNMELSA-N,COC(=O)CCCC[C@H]1C2C(CS1(=O)=O)N(Cc1cccc(Br)c1)C(=O)N2Cc1cccc(Br)c1,5.39,CHEMBL29252
FARGPRAWHNFEMH-UHFFFAOYSA-N,O=C1Oc2ccccc2C(O)C1Sc1c(O)oc2ccccc2c1=O,4.68,CHEMBL303093
FAUXAKIBSMVDGN-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1NC(=O)c1ccc(C#N)cc1,8.3,CHEMBL37597
FAXGPCHRFPCXOO-LXTPJMTPSA-N,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,7.77,CHEMBL296588
FBACKGQAIDXNSL-XWHIBYANSA-N,O=C1N(c2cccc(CO)c2)[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1c1cccc(CO)c1,9.31,CHEMBL362069
FBAJGUWCOMEALK-VICHBNAQSA-N,Cc1cncc(COC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)n1,,CHEMBL157745
FBDGLIUMIFGLAO-IAAQWQSGSA-N,CCCCCCCCOC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccccc1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C(C)(C)C,-1.150000000000075,CHEMBL144619
FBLZUMZFBQKWIR-CKOYEXALSA-N,CNc1cc(CN2C(=O)N(Cc3ccc(F)c(NC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)ccc1F,8.31,CHEMBL420503
FBNSKSOTNMECSA-FLBADVGZSA-N,CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1ccc(N)cc1,8.77,CHEMBL442738
FBNYWWSBMJYYAY-ADFDQVSMSA-N,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccc1)OCc1ccccc1,8.92,CHEMBL85640
FBTRQCVYUQUHSD-WZJLIZBTSA-N,CNc1cccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,10.41,CHEMBL311724
FBTZXFDIUDGUFP-WCDJITIGSA-N,CCC(C)[C@@H](NC(=O)[C@@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)O)C(=O)NC(CO)C(N)=O,6.99,CHEMBL371173
FBVWDPCOHLLXSB-NWJWHWDBSA-N,O=C1N(Cc2cccc(CO)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(-c2cc[nH]n2)c1,9.8,CHEMBL294582
FBWYFZYJEAMPHJ-UHFFFAOYSA-N,CCC(F)CC,,CHEMBL177481
FCGNRJHYPARKOT-YAMXIGGASA-N,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(=O)N[C@H](Cc1ccccc1)[C@H](O)CC(=O)NCC(O)CO,7.02,CHEMBL325764
FCKCZIINZXEXBX-VZNYXHRGSA-N,CCN(C(C)C)S(=O)(=O)CC[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccc2ccccc2n1)C(C)(C)S(C)(=O)=O,8.15,CHEMBL89076
FCLYPCIMVVLLRN-FXSYQQGGSA-N,CCOP(=O)(COc1ccc(C[C@H](NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)cc1)OCC,11.09151498112135,CHEMBL1233845
FCORIXIPNQUVLE-SHOVTOFOSA-N,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](Nc1ccc(-c2ccccc2)cc1)C(=O)N[C@H](C(=O)NCc1nc2ccccc2[nH]1)C(C)C,-0.9500000000001236,CHEMBL146890
FCUISHLMKMHSGY-RTNMLALUSA-N,Cc1ccccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1C,8.1,CHEMBL47551
FCURVSKSHXIQJK-CLJLJLNGSA-N,CC(C)CNC(=O)[C@H](Cc1ccccc1)CC(O)C[C@@H](Cc1ccccc1)C(=O)NCC(C)C,6.0,CHEMBL289572
FDBMQZFGLNMCLV-UHFFFAOYSA-N,CC(C)C(c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1)c1c(O)c2c(oc1=O)CCCCCC2,7.96,CHEMBL16572
FDDSVDLPHCADKM-LGXAAPQCSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](OC(=O)CCCC(=O)O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NC(C)(C)C,,CHEMBL282486
FDHGTZHQDKYHEJ-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1NS(=O)(=O)c1ccc(F)cc1,8.39,CHEMBL171720
FDIWWIAFKCMFQS-QEGGNFSNSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)COC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,5.0,CHEMBL48484
FDMXXQQBWCZJMY-KLGRSVOBSA-N,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(=O)NCCc1cccc(O)c1,5.95,CHEMBL5272766
FDTVKWDMKGIJPO-AHZNYXCSSA-N,CCC(C)[C@@H](NC(=O)[C@@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(N)=O)C(C)O)C(=O)NC(CO)C(N)=O,,CHEMBL195740
FDWDNKMBWIKGOI-XYIJYTLJSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@]1(Cc2ccccc2)CCN([C@@H]2CS(=O)(=O)Cc3ccccc32)C1=O,7.77,CHEMBL146875
FDYJWNQORWMJFP-QNRWOPMTSA-N,Cc1cc(S[C@@H]2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)COc3c(C)cccc3C)[C@H](C(=O)NC(C)(C)C)C2)nc(C)n1,8.82,CHEMBL275969
FEDKAIMWKYUZDG-VABKMULXSA-N,CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,6.34,CHEMBL336818
FEESVQMWSQCTLV-CNXCYTMISA-N,O=C(CN1[C@@H](COc2ccccc2)[C@@H](O)[C@H](O)[C@H](COc2ccccc2)N(CC(=O)Nc2nccs2)S1(=O)=O)Nc1nccs1,5.66,CHEMBL3350105
FEESVQMWSQCTLV-PWGHIRGTSA-N,O=C(CN1[C@H](COc2ccccc2)[C@H](O)[C@@H](O)[C@@H](COc2ccccc2)N(CC(=O)Nc2nccs2)S1(=O)=O)Nc1nccs1,5.66,CHEMBL356225
FEGPWHLGQBDXBX-UHFFFAOYSA-N,O=c1c2c(oc(O)c1C(c1cccc(NS(=O)(=O)c3cccc(Cl)c3)c1)C1CC1)CCCCCC2,8.57,CHEMBL16547
FEICASSQSGPGGQ-QQGWDPLKSA-N,O=C(Cc1ccccn1)c1cccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,10.14,CHEMBL311079
FENHLDPCCNRQQC-REWPJTCUSA-N,CC(C)[C@@H]1NC(=O)CNC(=O)COc2ccc(cc2)C[C@@H](C(=O)C(F)(F)C(=O)NCc2ccccc2)NC1=O,7.7,CHEMBL331994
FESCFDVJPAYJDY-YGWKMTKUSA-N,O=C1N(Cc2ccc3[nH]ncc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@H](O)[C@]23CC[C@H](CC2)N13,5.64,CHEMBL332308
FESJHMZOGKSCIW-WVBQXTTCSA-N,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2ccc(N3NC=CS3)cc2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1,-1.150000000000075,CHEMBL358070
FETJDIXLZFVMEN-QZKHDZGUSA-N,CC(C)C(NC(=O)OCc1ccc(N)nc1)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,,CHEMBL434506
FFJZPCRKWWUHPO-KGSQQFLHSA-N,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(C(C)=O)c2)C(=O)O1)S(=O)(=O)c1ccc2ncsc2c1,10.72,CHEMBL503050
FFQRACMGLDAGFJ-HTMIPXFUSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,,CHEMBL349504
FFUDEABEDNGPMU-BQXGFVACSA-N,CNC(=O)[C@@H](NC(=O)[C@H](OCc1ccc(Br)cc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccc(Br)cc1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C,9.52,CHEMBL124139
FFUVEXRFABJFNM-DIKLSXIISA-N,COC(=O)N[C@H](C(=O)NN(Cc1ccc(C#Cc2cccnc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,8.11,CHEMBL380522
FFXHPSLWFWPPON-UHFFFAOYSA-N,O=C1N(Cc2ccc(CBr)cc2)C(Cc2ccccc2)P(=O)(O)C(Cc2ccccc2)N1Cc1ccc(CBr)cc1,6.16,CHEMBL314409
FFYUPIXBYQYESZ-NWWLCHBLSA-N,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)c1ccc([N+](=O)[O-])c(O)c1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,9.48,CHEMBL381583
FGEJZONGXLJECE-RWSKJCERSA-N,CC(=O)N[C@@H](CSc1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,7.83,CHEMBL276203
FGIBQNKIPUWNMX-RQSVGBKSSA-N,CCC(C)[C@@H](NC(=O)C(Cc1ccc(F)c(F)c1)NC(=O)CCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.96,CHEMBL385753
FGLAXNOJEHONOE-QHCPKHFHSA-N,Cc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCCCNC(=O)NCc2ccccc2)C(=O)O)cc1,7.5,CHEMBL135784
FGPQFSNHIAFDDH-XVZHEKKHSA-N,CC[C@@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](O)C(C)C)S(=O)(=O)c1ccc2ncsc2c1,10.2,CHEMBL515309
FGQNCFQKCUNIIC-HZFUHODCSA-N,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)c1ccc(C(F)(F)F)cc1)NS(C)(=O)=O,8.7,CHEMBL274569
FGWJLASYSLJOQW-UHFFFAOYSA-N,CC(C)(C)NC(=O)c1ccccc1CCC(O)Cc1ccccc1C(=O)NC(C)(C)C,4.7,CHEMBL317834
FGWXXWXEHXDODE-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)C(F)(F)C(=O)NCc1ccccc1,8.4,CHEMBL87092
FHAHJYSCDBWYGW-UHFFFAOYSA-N,OC(C(COCc1ccccc1)OCc1cccc(F)c1)C(O)C(COCc1ccccc1)OCc1cccc(F)c1,5.75,CHEMBL120214
FHAHURNGIVLDQN-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)cc1,8.41,CHEMBL16629
FHBWTMUSDPDZRJ-MHZLTWQESA-N,COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)Oc2ccccc2)cc1,6.76,CHEMBL123186
FHGXAASKOJAWKN-GUFHCOKKSA-N,Cc1ccc(CN2CCN(C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)NC3c4ccccc4C[C@H]3O)[C@H](C(=O)NC(C)(C)C)C2)cn1,9.21,CHEMBL333607
FHIPHVDLTQPBNK-OUAPUVGISA-N,CC(C)(C)[C@H](NC(=O)CCc1nc2ccccc2[nH]1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](CO)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CCc1nc2ccccc2[nH]1)C(C)(C)C,8.05,CHEMBL97304
FHIPHVDLTQPBNK-WIIQQBJASA-N,CC(C)(C)[C@H](NC(=O)CCc1nc2ccccc2[nH]1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](CO)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CCc1nc2ccccc2[nH]1)C(C)(C)C,6.8,CHEMBL407000
FHJRDQOWYRRIAG-XQBPLPMBSA-N,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(N)=O,3.638272163982407,CHEMBL432212
FHQXSRIWVXITSU-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1cccnc1,8.39,CHEMBL167243
FHWFGNNPLKNFPL-WZJLIZBTSA-N,Cc1cccc(CN2C(=O)N(Cc3cccc(C)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,8.15,CHEMBL84734
FHWOVWYLNZQCRX-UHFFFAOYSA-N,CC(C)c1ccccc1SC1=C(O)OC(CCC(=O)N2CCOCC2)(c2ccccc2)CC1=O,5.61,CHEMBL414635
FIAFUQMPZJWCLV-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,,CHEMBL265502
FIGQLJMXYIMIGW-NAYUSWPISA-N,CC(C)c1nc(CN(C)C(=O)NCCC(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,8.96,CHEMBL347802
FIQBSLXLTLJIQG-YQYWCZHNSA-N,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCNC(=O)[C@H](C(C)C)NC1=O,8.1,CHEMBL320800
FIRQPKJXMJYHJZ-FTMHBDIKSA-N,CC(C)[C@H](NC(=O)OCc1ccncc1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccncc1)C(C)C,7.58,CHEMBL113268
FISQNAODWVZPAU-IJIPESGRSA-N,CC(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](CO)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,7.57,CHEMBL97127
FISQNAODWVZPAU-YCHAIXGXSA-N,CC(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](CO)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,6.29,CHEMBL98015
FITBNCMDDVVHAC-JRZXTGLJSA-N,CC(C)[C@@H](NC(=O)[C@@H](Cc1ccccc1)NCC(O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(=O)O,9.15,CHEMBL321654
FIUNGTDDQHDHHT-WUFINQPMSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Oc2c3occc3cc3ccc(=O)oc23)cc1,9.92,CHEMBL4744103
FIWNNAIJMGZTNA-OKDNLZPVSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](SCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,8.74,CHEMBL13217
FIZSEARKMSKAFE-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1cccs1,7.73,CHEMBL169247
FJBICWCRPINASV-UHFFFAOYSA-N,CNC1=Nc2ccc(N(C)Cc3ccc(S(=O)(=O)N4CCOCC4)cc3)c3c(C)ccc1c23,,CHEMBL9671
FJCFRXMLYMDVAR-FFWFDUBJSA-N,CC(C)(C)OC(=O)CNC(=O)[C@@H](NC(=O)c1ccccc1-c1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3-c3ccccc3)C(=O)NCC(=O)OC(C)(C)C)SC2(C)C)C(C)(C)S1,8.39,CHEMBL274534
FJDKMRVTSRTHNT-UBFVSLLYSA-N,O=C1N[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1,8.59,CHEMBL36939
FJFXTHFCGKUXMS-MPLXNUKASA-N,Cc1ncc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)nc1C,,CHEMBL349346
FJGMZMHZSGCYCP-LHLQAOCASA-N,CN1C2[C@]3(CO)C4N(C)C5[C@@](CO)(C1[C@@]5(CO)[C@@H](c1ccccc1)[C@]24CO)[C@H]3c1ccccc1,3.5816987086802543,CHEMBL4524112
FJHHOFUTXXPVQF-YZROBKQMSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,,CHEMBL164870
FJIFQKRKEGFBRT-SYQUUIDJSA-N,CC(C)[C@H](NC(=O)[C@H](NCc1ccccc1)[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1,-2.1999999999999957,CHEMBL344978
FJIRQAXCBOCEQN-YQZSHTGLSA-N,O=C(NC1c2ccccc2C[C@H]1O)[C@H](OCc1cccc(F)c1F)[C@H](O)[C@@H](O)[C@@H](OCc1cccc(F)c1F)C(=O)N[C@H]1c2ccccc2C[C@H]1O,8.4,CHEMBL319704
FJJMMLZBKOBRAP-XVVMYKDKSA-N,Cc1ccc(Cl)cc1N1CCN(Cc2nnn([C@@H](Cc3ccccc3)[C@H](Cc3ccccc3)NC(=O)OC3CCCC3)c2[C@H](C)O)CC1,7.68,CHEMBL407802
