tag,smiles,affinity,pose
lig_0071,Nc1nc(O)c2ncn([C@@H]3CC(F)(F)[C@H](CO)O3)c2n1,-7.688,dockrun/out/lig_0071_best.pdbqt
lig_0180,OC(c1ccccc1)C(O)C(COCc1ccccc1)OCc1ccccc1,-7.684,dockrun/out/lig_0180_best.pdbqt
lig_0111,COC(=O)[C@H](CSc1ccccc1)NC(=O)C1=CC=CCC1,-7.624,dockrun/out/lig_0111_best.pdbqt
lig_0082,CC1CN(C(Cc2ccccc2)C(=O)NCCS(=O)(=O)C(C)C)C1=O,-7.618,dockrun/out/lig_0082_best.pdbqt
lig_0010,CCC(=O)C1=C(O)OC(CCO)(Cc2ccccc2)CC1,-7.573,dockrun/out/lig_0010_best.pdbqt
lig_0015,C=CN1C(=O)NC1SC=C1C(C)=CC2C=COC2=C1N,-7.499,dockrun/out/lig_0015_best.pdbqt
lig_0029,CCCC1CC(=O)C(SCCc2ccccc2)=C(O)OC(C)C1,-7.496,dockrun/out/lig_0029_best.pdbqt
lig_0053,CC=C1C=C(S(=O)(=O)N(CC(C)C)[C@@H]2c3ccccc3S[C@@H]2CN)OC=C1C,-7.437,dockrun/out/lig_0053_best.pdbqt
lig_0132,[C][C@]1(c2ccccc2)OC[C]2CNC3[C]C(O)C(NC2)[C@]3(CO)[C@H]1c1ccccc1,-7.437,dockrun/out/lig_0132_best.pdbqt
lig_0165,C[CH]C[C@@H](O)[C@@H](Cc1ccccc1)C1[C](C)[C@H](C(=O)O)[CH]C[C@H](O)C(C)(C)[CH]C1=CC,-7.419,dockrun/out/lig_0165_best.pdbqt
lig_0002,CCC(=O)C1=C(O)OC(CC)(c2ccccc2)CC1,-7.32,dockrun/out/lig_0002_best.pdbqt
lig_0030,CC(C)(C)NC(=O)C(CC1CCCCC1)N1CCC1=O,-7.285,dockrun/out/lig_0030_best.pdbqt
lig_0109,CCC1=C(O)C=CC2CCc3ccccc3C(=C1C(C)(C)C)OC2CC,-7.276,dockrun/out/lig_0109_best.pdbqt
lig_0073,CC(C)S[C@@H](F)[C@H](NC(=O)Cc1ccccc1)C(=O)NCC(F)F,-7.252,dockrun/out/lig_0073_best.pdbqt
lig_0113,CCCC1[CH][C@H](O)[C@@H](O)[C@@H](CCSC)N(CC2CC2)C(=O)N1CC1CC1,-7.206,dockrun/out/lig_0113_best.pdbqt
lig_0022,CCC(=O)C1=C(O)OC(C2CCCCC2)CC1,-7.205,dockrun/out/lig_0022_best.pdbqt
lig_0077,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](CCSC)N(Cc2ccccc2)C(=O)N1CC1CC1,-7.201,dockrun/out/lig_0077_best.pdbqt
lig_0011,CC(C)(C)NC(=O)C(c1ccccc1)N1CCC1=O,-7.163,dockrun/out/lig_0011_best.pdbqt
lig_0154,O=C(OC[C@H]1CCCO1)[C@H](Cc1ccccc1)N1CCC1=O,-7.095,dockrun/out/lig_0154_best.pdbqt
lig_0040,Cc1cn([C@@H]2CC(F)(F)[C@H](CO)O2)c(=O)[nH]c1=O,-7.027,dockrun/out/lig_0040_best.pdbqt
lig_0083,CC(=O)O[C@@H](CO)C(=O)Nc1nc2ccccc2[nH]1,-7.01,dockrun/out/lig_0083_best.pdbqt
lig_0069,Nc1ccn([C@@H]2C=C(F)[C@H](CO)O2)c(=O)n1,-6.795,dockrun/out/lig_0069_best.pdbqt
lig_0055,Nc1nc(=O)n([C@@H]2C=C(F)[C@H](CO)O2)cc1F,-6.785,dockrun/out/lig_0055_best.pdbqt
lig_0023,Cc1ccccc1CNC(=O)CCSc1ccccc1,-6.665,dockrun/out/lig_0023_best.pdbqt
lig_0008,CC(C)C1=NC(=CSCN2CCOCC2)COC(=O)N1,-6.544,dockrun/out/lig_0008_best.pdbqt
lig_0046,Cc1cn([C@H]2C=C(F)[C@H](CO)O2)c(=O)nc1O,-6.413,dockrun/out/lig_0046_best.pdbqt
lig_0068,Nc1ccn([C@@H]2O[C@@H](CO)C=C2F)c(=O)n1,-6.389,dockrun/out/lig_0068_best.pdbqt
lig_0013,O=C(O)CCNc1ccc(C(F)(F)F)cc1,-6.127,dockrun/out/lig_0013_best.pdbqt
lig_0052,CO[CH]OC([CH]O)CNC(=O)OCc1ccccc1,-6.126,dockrun/out/lig_0052_best.pdbqt
lig_0005,CC(=CSC1C=CC=C1)COc1ccc(O)cc1,-6.097,dockrun/out/lig_0005_best.pdbqt
lig_0043,CC(C)[C]1CC[C@](C)(C(=O)O)C[C@H](C)O1,-6.018,dockrun/out/lig_0043_best.pdbqt
lig_0047,CC(C)(C)NC(=O)c1ccccc1Cl,-5.789,dockrun/out/lig_0047_best.pdbqt
lig_0086,CC=CC=C1COC(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)C1,-5.649,dockrun/out/lig_0086_best.pdbqt
