tag,smiles,affinity,pose
lig_0164,CCc1cccc(C=C2OC(=O)C(Sc3ccc4ccccc4c3)=C2O)c1,-9.427,dockrun/out/lig_0164_best.pdbqt
lig_0124,O=c1cc(-c2ccccc2)oc(O)c1C(CC1CCCC1)SC1CCCC1,-9.407,dockrun/out/lig_0124_best.pdbqt
lig_0200,CC(NC(=O)c1ccccc1-c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CF,-9.402,dockrun/out/lig_0200_best.pdbqt
lig_0119,C[C@@H]1CN(Cc2ccccc2)CCN1CC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,-9.379,dockrun/out/lig_0119_best.pdbqt
lig_0129,O=C1[C@H](Cc2ccccc2)C(O)=C(O)N(Cc2ccccc2)[C@H]1Cc1ccccc1,-9.378,dockrun/out/lig_0129_best.pdbqt
lig_0092,CC(C)CCC1(c2ccccc2)CC(=O)C(SCCc2ccccc2)[C@@H](O)O1,-9.374,dockrun/out/lig_0092_best.pdbqt
lig_0057,CC(O)C(C)c1cccc(C(c2c(O)oc3c(c2=O)CCCCCC3)C2CC2)c1,-9.369,dockrun/out/lig_0057_best.pdbqt
lig_0051,Cc1nc(CN2CCN(C(=O)CCc3cc4c(C)cccc4[nH]3)CC2)no1,-9.366,dockrun/out/lig_0051_best.pdbqt
lig_0161,CNC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-9.351,dockrun/out/lig_0161_best.pdbqt
lig_0064,O=C(Nc1nc2ccccc2[nH]1)C(c1ccccc1)N1CCC1=O,-9.327,dockrun/out/lig_0064_best.pdbqt
lig_0100,O=c1c2c(oc(O)c1C(C1CC1)C1CC1)C(Cc1ccccc1)CCCCCC2,-9.326,dockrun/out/lig_0100_best.pdbqt
lig_0169,CC(C)(C)NC(=O)[C@H]1CSCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,-9.317,dockrun/out/lig_0169_best.pdbqt
lig_0093,CC(C)CC(CC1CCCCC1)c1c(O)cc(-c2ccccc2)oc1=O,-9.313,dockrun/out/lig_0093_best.pdbqt
lig_0116,O=c1ccoc(O)c1Cc1cccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,-9.308,dockrun/out/lig_0116_best.pdbqt
lig_0027,CC1=C(O)C=CCC1c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1C,-9.307,dockrun/out/lig_0027_best.pdbqt
lig_0112,O=c1ccoc(O)c1[CH]c1cccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,-9.301,dockrun/out/lig_0112_best.pdbqt
lig_0105,CC(C)CN1C(=O)N(CC(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,-9.293,dockrun/out/lig_0105_best.pdbqt
lig_0021,CC=C1C=CCNC(=O)N(Cc2ccccc2)CC(O)[C@@H]1Cc1ccccc1F,-9.263,dockrun/out/lig_0021_best.pdbqt
lig_0003,C[C@@H]1[C@H](O)[C@@H](O)[CH]CN(Cc2ccccc2)C(=O)N1Cc1ccccc1,-9.259,dockrun/out/lig_0003_best.pdbqt
lig_0145,CN[C@H](Cc1ccc2c(c1)CCO2)[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-9.227,dockrun/out/lig_0145_best.pdbqt
lig_0060,Cc1cccc(C=C2OC(=O)C(Sc3ccccc3C(C)C)=C2O)c1,-9.213,dockrun/out/lig_0060_best.pdbqt
lig_0186,[CH]CNC(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(F)cc1F)C(C)(C)C,-9.185,dockrun/out/lig_0186_best.pdbqt
lig_0174,[CH][C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)NCC1C=NN(c2ccccc2)C1)C(C)C,-9.163,dockrun/out/lig_0174_best.pdbqt
lig_0050,CC(C)(C)OC(=O)NCC(=O)N1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NCc1ccccc1,-9.137,dockrun/out/lig_0050_best.pdbqt
lig_0117,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C,-9.129,dockrun/out/lig_0117_best.pdbqt
lig_0156,CC(C)(C)c1ccccc1Sc1c(O)cc(-c2cccc(Cl)c2)oc1=O,-9.125,dockrun/out/lig_0156_best.pdbqt
lig_0131,CC[C@H](C)[CH]NC(=O)CN1CCCCCC1C[C@](C)(O)c1cccc(C(F)(F)F)c1,-9.12,dockrun/out/lig_0131_best.pdbqt
lig_0108,O=C(O)c1cccc(-c2cc(O)c(Sc3ccccc3C(F)F)c(=O)o2)c1,-9.107,dockrun/out/lig_0108_best.pdbqt
lig_0199,CCCC1(CCc2ccccc2)CC(=O)C(C(Cc2ccccc2)C2CC2)=C(O)O1,-9.1,dockrun/out/lig_0199_best.pdbqt
lig_0097,CC(C)(C)NC(=O)[C@@H]1CN(C(=O)Oc2ccccc2)CCN1C[C@@H](O)[CH]Cc1ccccc1,-9.099,dockrun/out/lig_0097_best.pdbqt
lig_0170,CCN(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,-9.097,dockrun/out/lig_0170_best.pdbqt
lig_0155,CC(C)(C)NC(=O)c1ccccc1CSc1c(O)cc(-c2ccccc2)oc1=O,-9.077,dockrun/out/lig_0155_best.pdbqt
lig_0175,CN1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CCC[C@H]1C(=O)NC(C)(C)C,-9.072,dockrun/out/lig_0175_best.pdbqt
lig_0009,CC(C)C1(Cc2ccccc2)CC(=O)C(C)(c2ccccc2)C=C(O)O1,-9.067,dockrun/out/lig_0009_best.pdbqt
lig_0194,O=C1N(Cc2ccccc2)CCS[C@@H](Cc2ccccc2)N1Cc1ccccc1,-9.058,dockrun/out/lig_0194_best.pdbqt
lig_0031,CCC1C=C(O)OC(CC)(c2ccc(OCc3ccccc3)cc2)C1=O,-9.055,dockrun/out/lig_0031_best.pdbqt
lig_0121,CC(C)CN1COc2ccc(cc2O)CN(Cc2ccccc2)C(=O)NCCCC[C@H]1CO,-9.032,dockrun/out/lig_0121_best.pdbqt
